Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-09 10_26_04.png;09_09_2018;10_26_04;262.955;0.26;14.728;25.329;18.567;62.827
2018-09-09 10_26_19.png;09_09_2018;10_26_19;275.592;0.327;14.966;25.294;18.588;63.206
2018-09-09 10_26_35.png;09_09_2018;10_26_35;287.626;0.212;14.75;25.256;18.602;63.062
2018-09-09 10_26_51.png;09_09_2018;10_26_51;294.291;0.298;14.97;25.137;18.632;63.783
2018-09-09 10_27_06.png;09_09_2018;10_27_06;295.604;0.136;14.76;25.208;18.609;63.21
2018-09-09 10_27_22.png;09_09_2018;10_27_22;291.94;0.169;15.369;25.167;18.664;64.275
2018-09-09 10_27_38.png;09_09_2018;10_27_38;283.816;0.152;15.474;25.257;18.644;64.29
2018-09-09 10_27_54.png;09_09_2018;10_27_54;271.939;0.196;15.68;25.406;18.618;64.51
2018-09-09 10_28_09.png;09_09_2018;10_28_09;258.794;0.19;15.558;25.479;18.553;63.888
2018-09-09 10_28_25.png;09_09_2018;10_28_25;244.777;0.179;15.804;25.623;18.544;64.443
2018-09-09 10_28_41.png;09_09_2018;10_28_41;231.609;0.102;16.174;25.668;18.577;64.63
2018-09-09 10_28_56.png;09_09_2018;10_28_56;220.109;0.22;16.245;25.601;18.489;64.474
2018-09-09 10_29_12.png;09_09_2018;10_29_12;208.8;0.164;16.042;25.679;18.475;64.136
2018-09-09 10_29_28.png;09_09_2018;10_29_28;198.358;1.655;15.197;25.76;18.471;62.9
2018-09-09 10_29_44.png;09_09_2018;10_29_44;189.448;0.276;15.321;25.682;18.435;62.493
2018-09-09 10_29_59.png;09_09_2018;10_29_59;182.722;0.424;15.73;25.526;18.444;63.024
2018-09-09 10_30_15.png;09_09_2018;10_30_15;177.777;0.591;15.393;25.376;18.414;62.842
2018-09-09 10_30_31.png;09_09_2018;10_30_31;175.51;0.186;15.601;25.526;18.476;63.236
2018-09-09 10_30_47.png;09_09_2018;10_30_47;176.342;1.499;15.243;25.324;18.405;63.035
2018-09-09 10_31_03.png;09_09_2018;10_31_03;179.749;1.704;15.12;25.406;18.405;63.098
2018-09-09 10_31_18.png;09_09_2018;10_31_18;184.543;0.205;15.145;25.231;18.411;63.412
2018-09-09 10_31_34.png;09_09_2018;10_31_34;191.711;0.197;15.312;25.31;18.435;63.868
2018-09-09 10_31_50.png;09_09_2018;10_31_50;198.804;0.472;15.117;25.283;18.392;64.027
2018-09-09 10_32_06.png;09_09_2018;10_32_06;204.285;0.254;14.925;25.22;18.498;64.737
2018-09-09 10_32_21.png;09_09_2018;10_32_21;208.804;0.355;14.579;24.953;18.488;64.837
2018-09-09 10_32_37.png;09_09_2018;10_32_37;212.108;0.127;15.032;25.155;18.528;66.078
2018-09-09 10_32_53.png;09_09_2018;10_32_53;214.68;1.557;14.542;25.044;18.475;65.363
2018-09-09 10_33_09.png;09_09_2018;10_33_09;216.391;0.176;14.499;25.052;18.527;65.416
2018-09-09 10_33_24.png;09_09_2018;10_33_24;218.076;0.261;14.497;24.879;18.564;65.783
2018-09-09 10_33_40.png;09_09_2018;10_33_40;220.863;0.185;14.979;25.023;18.546;66.621
2018-09-09 10_33_56.png;09_09_2018;10_33_56;223.596;0.202;14.95;24.992;18.583;66.567
2018-09-09 10_34_12.png;09_09_2018;10_34_12;227.075;0.122;15.237;25.033;18.593;66.917
2018-09-09 10_34_27.png;09_09_2018;10_34_27;231.478;0.185;15.151;25.16;18.61;66.636
2018-09-09 10_34_43.png;09_09_2018;10_34_43;236.47;0.127;15.264;25.225;18.648;66.299
2018-09-09 10_34_59.png;09_09_2018;10_34_59;242.372;0.159;15.159;25.254;18.655;66.725
2018-09-09 10_35_15.png;09_09_2018;10_35_15;248.999;0.154;15.151;25.334;18.7;67.286
2018-09-09 10_35_31.png;09_09_2018;10_35_31;255.932;0.154;15.341;25.362;18.744;66.446
2018-09-09 10_35_46.png;09_09_2018;10_35_46;261.553;0.116;15.177;25.42;18.701;66.565
2018-09-09 10_36_02.png;09_09_2018;10_36_02;264.422;0.132;15.238;25.427;18.791;66.227
2018-09-09 10_36_18.png;09_09_2018;10_36_18;263.887;0.192;15.447;25.424;18.804;66.008
2018-09-09 10_36_34.png;09_09_2018;10_36_34;260.147;0.114;15.717;25.446;18.846;66.071
2018-09-09 10_36_49.png;09_09_2018;10_36_49;253.711;0.134;15.989;25.559;18.791;66.606
2018-09-09 10_37_05.png;09_09_2018;10_37_05;245.22;0.265;16.027;25.558;18.76;65.355
2018-09-09 10_37_21.png;09_09_2018;10_37_21;236.277;0.238;16.157;25.596;18.695;64.848
2018-09-09 10_37_36.png;09_09_2018;10_37_36;228.793;0.506;15.609;25.522;18.697;64.025
2018-09-09 10_37_52.png;09_09_2018;10_37_52;221.72;0.559;15.461;25.551;18.73;63.619
2018-09-09 10_38_08.png;09_09_2018;10_38_08;215.348;0.111;15.889;25.653;18.689;63.615
2018-09-09 10_38_24.png;09_09_2018;10_38_24;210.856;0.111;16.149;25.781;18.735;64.606
2018-09-09 10_38_39.png;09_09_2018;10_38_39;207.991;0.163;16.001;25.772;18.709;64.131
2018-09-09 10_38_55.png;09_09_2018;10_38_55;206.439;0.251;15.528;25.616;18.705;63.579
2018-09-09 10_39_11.png;09_09_2018;10_39_11;208.187;2.398;14.857;25.546;18.668;63.065
2018-09-09 10_39_27.png;09_09_2018;10_39_27;212.281;1.113;15.058;25.652;18.677;63.006
2018-09-09 10_39_43.png;09_09_2018;10_39_43;219.305;0.618;15.176;25.44;18.672;63.446
2018-09-09 10_39_58.png;09_09_2018;10_39_58;228.486;2.382;14.883;25.585;18.757;63.778
2018-09-09 10_40_14.png;09_09_2018;10_40_14;238.775;1.411;14.511;25.424;18.748;63.653
2018-09-09 10_40_30.png;09_09_2018;10_40_30;248.164;1.452;14.964;25.504;18.82;64.128
2018-09-09 10_40_45.png;09_09_2018;10_40_45;253.38;0.19;15.289;25.397;18.766;64.492
2018-09-09 10_41_01.png;09_09_2018;10_41_01;253.205;0.281;15.224;25.456;18.778;64.621
2018-09-09 10_41_17.png;09_09_2018;10_41_17;248.229;0.555;14.822;25.389;18.839;63.853
2018-09-09 10_41_33.png;09_09_2018;10_41_33;239.827;0.098;15.283;25.586;18.783;63.855
2018-09-09 10_41_48.png;09_09_2018;10_41_48;233.083;0.615;14.864;25.381;18.77;63.965
2018-09-09 10_42_04.png;09_09_2018;10_42_04;228.635;0.15;15.154;25.546;18.842;64.332
2018-09-09 10_42_20.png;09_09_2018;10_42_20;227.203;0.107;15.443;25.649;18.793;64.931
2018-09-09 10_42_36.png;09_09_2018;10_42_36;226.785;1.01;15.376;25.671;18.768;64.408
2018-09-09 10_42_51.png;09_09_2018;10_42_51;226.349;0.134;15.773;25.837;18.746;64.81
2018-09-09 10_43_07.png;09_09_2018;10_43_07;224.187;0.152;15.976;25.91;18.738;64.309
2018-09-09 10_43_23.png;09_09_2018;10_43_23;221.782;0.087;16.24;25.972;18.738;64.009
2018-09-09 10_43_39.png;09_09_2018;10_43_39;217.083;0.205;15.925;26.051;18.717;63.931
2018-09-09 10_43_54.png;09_09_2018;10_43_54;211.614;0.219;15.954;26.045;18.72;64.437
2018-09-09 10_44_10.png;09_09_2018;10_44_10;204.951;0.372;15.868;25.794;18.753;64.074
2018-09-09 10_44_26.png;09_09_2018;10_44_26;198.52;0.366;15.876;25.905;18.766;63.973
2018-09-09 10_44_42.png;09_09_2018;10_44_42;192.031;0.188;15.157;25.89;18.786;62.826
2018-09-09 10_44_57.png;09_09_2018;10_44_57;185.872;0.135;15.567;26.048;18.804;63.749
2018-09-09 10_45_13.png;09_09_2018;10_45_13;178.693;0.146;15.382;25.994;18.788;63.449
2018-09-09 10_45_29.png;09_09_2018;10_45_29;171.529;0.191;15.103;26.015;18.778;63.618
2018-09-09 10_45_45.png;09_09_2018;10_45_45;165.107;2.214;14.484;25.74;18.713;63.296
2018-09-09 10_46_01.png;09_09_2018;10_46_01;160.648;1.544;14.667;25.591;18.768;63.911
2018-09-09 10_46_16.png;09_09_2018;10_46_16;157.911;0.398;14.594;25.497;18.737;64.143
2018-09-09 10_46_32.png;09_09_2018;10_46_32;157.205;0.179;14.901;25.573;18.748;64.864
2018-09-09 10_46_48.png;09_09_2018;10_46_48;157.839;0.31;14.839;25.408;18.709;65.197
2018-09-09 10_47_04.png;09_09_2018;10_47_04;159.438;0.248;14.758;25.216;18.698;65.097
2018-09-09 10_47_19.png;09_09_2018;10_47_19;161.115;0.266;14.877;25.117;18.73;65.701
2018-09-09 10_47_35.png;09_09_2018;10_47_35;163.066;0.07;15.475;25.331;18.77;66.79
2018-09-09 10_47_51.png;09_09_2018;10_47_51;165.436;0.066;15.688;25.34;18.737;66.934
2018-09-09 10_48_07.png;09_09_2018;10_48_07;167.345;0.546;15.669;25.271;18.76;66.753
2018-09-09 10_48_22.png;09_09_2018;10_48_22;168.897;0.182;15.929;25.417;18.735;66.97
2018-09-09 10_48_38.png;09_09_2018;10_48_38;169.302;2.027;15.153;25.205;18.707;66.174
2018-09-09 10_48_54.png;09_09_2018;10_48_54;168.942;0.561;15.442;25.288;18.699;65.99
2018-09-09 10_49_10.png;09_09_2018;10_49_10;168.223;1.466;15.035;25.312;18.676;65.965
2018-09-09 10_49_25.png;09_09_2018;10_49_25;166.088;0.224;15.091;25.203;18.715;66.306
2018-09-09 10_49_41.png;09_09_2018;10_49_41;163.874;1.842;14.484;24.972;18.749;66.078
2018-09-09 10_49_57.png;09_09_2018;10_49_57;161.444;0.517;14.724;24.958;18.781;66.243
2018-09-09 10_50_13.png;09_09_2018;10_50_13;159.079;0.202;14.881;24.96;18.763;66.54
2018-09-09 10_50_28.png;09_09_2018;10_50_28;158.498;0.139;15.131;25.137;18.778;66.928
2018-09-09 10_50_44.png;09_09_2018;10_50_44;158.549;0.153;14.924;25.119;18.758;67.115
2018-09-09 10_51_00.png;09_09_2018;10_51_00;159.389;0.132;15.158;25.075;18.748;67.156
2018-09-09 10_51_16.png;09_09_2018;10_51_16;160.329;0.099;15.159;25.16;18.769;66.954
2018-09-09 10_51_31.png;09_09_2018;10_51_31;162.047;0.696;15.383;25.19;18.844;66.965
2018-09-09 10_51_47.png;09_09_2018;10_51_47;164.54;0.88;15.141;24.919;18.831;66.843
2018-09-09 10_52_03.png;09_09_2018;10_52_03;168.798;0.103;15.228;25.117;18.855;67.09
2018-09-09 10_52_19.png;09_09_2018;10_52_19;174.215;0.162;15.508;25.062;18.858;67.431
2018-09-09 10_52_34.png;09_09_2018;10_52_34;180.595;0.245;15.636;25.177;18.866;67.032
2018-09-09 10_52_50.png;09_09_2018;10_52_50;188.307;0.711;15.5;25.127;18.868;66.721
2018-09-09 10_53_06.png;09_09_2018;10_53_06;197.101;0.541;15.771;25.24;18.898;66.566
2018-09-09 10_53_22.png;09_09_2018;10_53_22;206.05;0.316;15.903;25.24;18.913;66.494
2018-09-09 10_53_37.png;09_09_2018;10_53_37;214.384;0.33;15.828;25.273;18.88;66.062
2018-09-09 10_53_53.png;09_09_2018;10_53_53;220.753;0.812;15.606;25.154;18.901;65.996
2018-09-09 10_54_09.png;09_09_2018;10_54_09;225.087;0.664;15.81;25.222;18.944;66.07
2018-09-09 10_54_25.png;09_09_2018;10_54_25;226.991;1.442;15.349;25.276;18.934;65.737
2018-09-09 10_54_40.png;09_09_2018;10_54_40;227.993;0.083;15.353;25.385;18.917;65.408
2018-09-09 10_54_56.png;09_09_2018;10_54_56;229.331;0.407;15.946;25.461;18.914;65.597
2018-09-09 10_55_12.png;09_09_2018;10_55_12;230.116;0.111;15.971;25.484;18.905;65.951
2018-09-09 10_55_27.png;09_09_2018;10_55_27;230.422;1.112;15.776;25.54;18.888;65.6
2018-09-09 10_55_43.png;09_09_2018;10_55_43;229.681;0.349;15.377;25.414;18.953;64.754
2018-09-09 10_55_59.png;09_09_2018;10_55_59;227.777;0.577;15.743;25.507;18.944;64.673
2018-09-09 10_56_15.png;09_09_2018;10_56_15;224.685;0.499;15.271;25.455;18.966;64.34
2018-09-09 10_56_31.png;09_09_2018;10_56_31;219.739;0.169;15.471;25.438;18.917;64.611
2018-09-09 10_56_46.png;09_09_2018;10_56_46;214.408;0.182;15.611;25.735;18.92;65.09
2018-09-09 10_57_02.png;09_09_2018;10_57_02;208.628;0.148;15.835;25.849;18.956;65.057
2018-09-09 10_57_18.png;09_09_2018;10_57_18;203.338;0.105;15.965;25.92;18.922;65.641
2018-09-09 10_57_34.png;09_09_2018;10_57_34;198.129;0.172;15.585;25.927;18.909;64.777
2018-09-09 10_57_49.png;09_09_2018;10_57_49;193.892;0.149;15.471;25.945;18.902;63.841
2018-09-09 10_58_05.png;09_09_2018;10_58_05;189.365;0.179;15.437;25.973;18.913;64.862
2018-09-09 10_58_21.png;09_09_2018;10_58_21;185.901;0.122;15.569;25.982;18.926;64.769
2018-09-09 10_58_37.png;09_09_2018;10_58_37;183.081;0.104;15.575;25.976;18.931;64.848
2018-09-09 10_58_52.png;09_09_2018;10_58_52;180.848;0.229;15.697;25.979;18.896;65.023
2018-09-09 10_59_08.png;09_09_2018;10_59_08;179.407;0.256;15.811;25.959;18.916;64.426
2018-09-09 10_59_24.png;09_09_2018;10_59_24;177.569;0.605;15.81;25.694;18.906;63.845
2018-09-09 10_59_40.png;09_09_2018;10_59_40;175.777;0.507;16.018;25.929;18.877;64.043
2018-09-09 10_59_55.png;09_09_2018;10_59_55;173.706;0.705;15.985;25.968;18.898;63.334
2018-09-09 11_00_11.png;09_09_2018;11_00_11;171.69;0.53;15.849;25.864;18.887;63.295
2018-09-09 11_00_27.png;09_09_2018;11_00_27;170.156;0.068;16.218;25.96;18.865;63.523
2018-09-09 11_00_43.png;09_09_2018;11_00_43;167.657;0.101;16.284;25.947;18.861;63.454
2018-09-09 11_00_58.png;09_09_2018;11_00_58;166.05;0.1;16.417;25.994;18.864;63.244
2018-09-09 11_01_14.png;09_09_2018;11_01_14;163.519;0.1;16.007;25.987;18.904;63.223
2018-09-09 11_01_30.png;09_09_2018;11_01_30;160.639;0.258;15.964;25.875;18.881;63.835
2018-09-09 11_01_46.png;09_09_2018;11_01_46;157.949;0.325;15.869;25.861;18.929;62.757
2018-09-09 11_02_01.png;09_09_2018;11_02_01;154.816;0.293;15.949;25.827;18.896;63.243
2018-09-09 11_02_17.png;09_09_2018;11_02_17;151.616;2.519;14.896;25.849;18.902;62.761
2018-09-09 11_02_33.png;09_09_2018;11_02_33;148.762;0.159;15.192;25.683;18.887;63.442
2018-09-09 11_02_49.png;09_09_2018;11_02_49;145.888;0.093;15.529;25.792;18.886;64.237
2018-09-09 11_03_05.png;09_09_2018;11_03_05;144.458;0.134;15.676;25.853;18.891;64.499
2018-09-09 11_03_20.png;09_09_2018;11_03_20;143.129;0.289;15.243;25.625;18.915;64.303
2018-09-09 11_03_36.png;09_09_2018;11_03_36;141.884;0.14;15.435;25.698;18.921;64.523
2018-09-09 11_03_52.png;09_09_2018;11_03_52;140.571;1.752;14.769;25.608;18.922;64.251
2018-09-09 11_04_08.png;09_09_2018;11_04_08;138.649;0.183;15.233;25.543;18.895;64.809
2018-09-09 11_04_23.png;09_09_2018;11_04_23;136.437;1.266;14.998;25.363;18.921;64.595
2018-09-09 11_04_39.png;09_09_2018;11_04_39;134.333;0.262;15.083;25.374;18.913;64.816
2018-09-09 11_04_55.png;09_09_2018;11_04_55;132.238;0.121;15.346;25.43;18.917;65.094
2018-09-09 11_05_11.png;09_09_2018;11_05_11;130.193;0.127;15.484;25.44;18.895;65.379
2018-09-09 11_05_26.png;09_09_2018;11_05_26;129.22;0.116;15.608;25.44;18.927;65.421
2018-09-09 11_05_42.png;09_09_2018;11_05_42;128.322;0.287;15.625;25.272;18.923;65.629
2018-09-09 11_05_58.png;09_09_2018;11_05_58;127.714;0.235;15.539;25.376;18.907;65.919
2018-09-09 11_06_14.png;09_09_2018;11_06_14;128.49;0.061;15.577;25.416;18.95;66.022
2018-09-09 11_06_29.png;09_09_2018;11_06_29;128.815;0.098;15.544;25.398;18.933;66.447
2018-09-09 11_06_45.png;09_09_2018;11_06_45;129.865;0.072;15.753;25.442;18.974;66.502
2018-09-09 11_07_01.png;09_09_2018;11_07_01;132.744;0.191;15.555;25.343;18.904;66.764
2018-09-09 11_07_16.png;09_09_2018;11_07_16;135.997;0.219;15.731;25.376;18.959;66.152
2018-09-09 11_07_32.png;09_09_2018;11_07_32;139.231;0.341;15.842;25.333;18.944;66.911
2018-09-09 11_07_48.png;09_09_2018;11_07_48;142.646;0.249;15.675;25.313;19.023;65.919
2018-09-09 11_08_04.png;09_09_2018;11_08_04;146.311;0.589;15.26;25.305;19.04;65.583
2018-09-09 11_08_19.png;09_09_2018;11_08_19;148.657;0.06;15.657;25.365;19.058;66.011
2018-09-09 11_08_35.png;09_09_2018;11_08_35;150.867;0.07;15.842;25.337;19;65.837
2018-09-09 11_08_51.png;09_09_2018;11_08_51;152.619;0.07;15.712;25.305;18.986;66.128
2018-09-09 11_09_07.png;09_09_2018;11_09_07;153.577;0.134;15.777;25.418;18.992;66.604
2018-09-09 11_09_22.png;09_09_2018;11_09_22;155;0.101;15.905;25.387;18.987;67.173
2018-09-09 11_09_38.png;09_09_2018;11_09_38;157.319;0.147;16.005;25.46;19.004;66.904
2018-09-09 11_09_54.png;09_09_2018;11_09_54;158.819;0.332;15.856;25.285;18.988;66.048
2018-09-09 11_10_10.png;09_09_2018;11_10_10;159.907;0.196;15.478;25.414;19.001;65.465
2018-09-09 11_10_26.png;09_09_2018;11_10_26;161.422;0.112;15.796;25.364;19;65.971
2018-09-09 11_10_41.png;09_09_2018;11_10_41;163.117;0.131;15.646;25.33;18.988;66.038
2018-09-09 11_10_57.png;09_09_2018;11_10_57;164.727;0.144;15.233;25.376;19.023;65.208
2018-09-09 11_11_13.png;09_09_2018;11_11_13;165.529;0.101;15.515;25.284;19.002;65.57
2018-09-09 11_11_28.png;09_09_2018;11_11_28;165.837;0.153;15.415;25.285;19.011;65.973
2018-09-09 11_11_44.png;09_09_2018;11_11_44;165.851;0.13;15.424;25.262;19.019;65.536
2018-09-09 11_12_00.png;09_09_2018;11_12_00;165.223;0.103;15.56;25.281;19.028;65.86
2018-09-09 11_12_16.png;09_09_2018;11_12_16;164.378;0.322;15.423;25.202;19.033;65.63
2018-09-09 11_12_32.png;09_09_2018;11_12_32;163.636;0.345;15.225;25.159;19.068;65.108
2018-09-09 11_12_47.png;09_09_2018;11_12_47;162.725;0.091;15.612;25.264;19.071;66.436
2018-09-09 11_13_03.png;09_09_2018;11_13_03;162.642;0.099;15.634;25.209;19.029;65.872
2018-09-09 11_13_19.png;09_09_2018;11_13_19;162.487;0.507;15.681;25.1;19.024;65.856
2018-09-09 11_13_35.png;09_09_2018;11_13_35;162.877;0.892;15.553;25.075;19.022;65.486
2018-09-09 11_13_50.png;09_09_2018;11_13_50;163.465;0.25;15.529;25.012;18.989;65.583
2018-09-09 11_14_06.png;09_09_2018;11_14_06;163.944;0.103;15.695;25.065;18.997;65.611
2018-09-09 11_14_22.png;09_09_2018;11_14_22;164.781;0.132;15.765;25.145;19.021;65.862
2018-09-09 11_14_38.png;09_09_2018;11_14_38;164.309;0.108;16.038;25.195;19.013;66.14
2018-09-09 11_14_53.png;09_09_2018;11_14_53;163.923;0.156;16.259;25.298;19.07;66.706
2018-09-09 11_15_09.png;09_09_2018;11_15_09;163.063;0.119;16.237;25.325;19.024;66.329
2018-09-09 11_15_25.png;09_09_2018;11_15_25;161.799;0.174;15.727;25.34;19.098;65.493
2018-09-09 11_15_40.png;09_09_2018;11_15_40;161.239;0.163;15.878;25.354;19.091;66.014
2018-09-09 11_15_56.png;09_09_2018;11_15_56;160.643;0.175;15.524;25.32;19.046;65.801
2018-09-09 11_16_12.png;09_09_2018;11_16_12;161.188;0.208;15.385;25.242;19.05;65.203
2018-09-09 11_16_28.png;09_09_2018;11_16_28;161.357;0.148;15.327;25.18;19.063;65.398
2018-09-09 11_16_44.png;09_09_2018;11_16_44;160.458;0.131;15.57;25.156;19.069;65.888
2018-09-09 11_16_59.png;09_09_2018;11_16_59;159.459;0.145;15.37;25.156;19.051;65.469
2018-09-09 11_17_15.png;09_09_2018;11_17_15;157.601;0.163;15.252;25.107;19.045;66.088
2018-09-09 11_17_31.png;09_09_2018;11_17_31;155.1;0.157;15.277;25.006;19.036;66.258
2018-09-09 11_17_47.png;09_09_2018;11_17_47;152.27;0.146;15.246;24.97;19.043;65.724
2018-09-09 11_18_02.png;09_09_2018;11_18_02;149.703;0.192;15.202;24.882;19.057;66.196
2018-09-09 11_18_18.png;09_09_2018;11_18_18;146.641;0.124;15.263;24.911;19.044;67.288
2018-09-09 11_18_34.png;09_09_2018;11_18_34;143.445;0.161;15.234;24.847;19.064;67.023
2018-09-09 11_18_50.png;09_09_2018;11_18_50;140.817;0.125;15.333;24.672;19.025;67.437
2018-09-09 11_19_05.png;09_09_2018;11_19_05;138.192;0.179;14.967;24.808;19.095;67.157
2018-09-09 11_19_21.png;09_09_2018;11_19_21;135.776;0.264;14.942;24.623;19.103;67.194
2018-09-09 11_19_37.png;09_09_2018;11_19_37;133.407;0.161;14.985;24.6;19.108;68.044
2018-09-09 11_19_53.png;09_09_2018;11_19_53;131.626;0.203;14.909;24.538;19.105;68.176
2018-09-09 11_20_08.png;09_09_2018;11_20_08;129.971;0.164;14.839;24.508;19.07;68.393
2018-09-09 11_20_24.png;09_09_2018;11_20_24;128.15;0.078;15.022;24.408;19.098;68.381
2018-09-09 11_20_40.png;09_09_2018;11_20_40;126.954;0.102;15.057;24.353;19.116;68.61
2018-09-09 11_20_56.png;09_09_2018;11_20_56;125.811;0.127;15.17;24.305;19.084;69.083
2018-09-09 11_21_11.png;09_09_2018;11_21_11;124.344;0.961;15.172;24.203;19.094;69.207
2018-09-09 11_21_27.png;09_09_2018;11_21_27;124.104;0.302;15.042;24.05;19.105;68.989
2018-09-09 11_21_43.png;09_09_2018;11_21_43;123.918;0.231;15.219;24.204;19.127;69.44
2018-09-09 11_21_59.png;09_09_2018;11_21_59;124.278;0.165;15.07;24.187;19.138;69.327
2018-09-09 11_22_14.png;09_09_2018;11_22_14;125.2;0.115;15.201;24.155;19.089;69.386
2018-09-09 11_22_30.png;09_09_2018;11_22_30;126.829;0.214;15.294;24.163;19.088;70.286
2018-09-09 11_22_46.png;09_09_2018;11_22_46;128.791;0.125;15.102;24.037;19.076;69.734
2018-09-09 11_23_02.png;09_09_2018;11_23_02;130.803;0.231;15.019;24.117;19.061;70.204
2018-09-09 11_23_17.png;09_09_2018;11_23_17;132.259;0.199;15.009;24.037;19.046;70.594
2018-09-09 11_23_33.png;09_09_2018;11_23_33;133.975;0.138;15.053;24.053;19.098;71.136
2018-09-09 11_23_49.png;09_09_2018;11_23_49;135.362;0.171;14.901;24.008;19.044;71.045
2018-09-09 11_24_05.png;09_09_2018;11_24_05;136.24;0.267;14.897;23.932;19.053;70.95
2018-09-09 11_24_20.png;09_09_2018;11_24_20;137.424;0.318;14.877;23.89;19.011;71.153
2018-09-09 11_24_36.png;09_09_2018;11_24_36;138.392;0.353;14.744;23.829;19.055;71.102
2018-09-09 11_24_52.png;09_09_2018;11_24_52;139.558;0.195;14.792;23.689;19.028;70.515
2018-09-09 11_25_08.png;09_09_2018;11_25_08;140.688;0.171;14.962;23.727;19.024;70.58
2018-09-09 11_25_23.png;09_09_2018;11_25_23;142.231;0.218;14.875;23.73;19.007;70.654
2018-09-09 11_25_39.png;09_09_2018;11_25_39;144.276;0.169;14.914;23.645;19.081;70.599
2018-09-09 11_25_55.png;09_09_2018;11_25_55;145.763;0.267;15.01;23.576;19.028;70.725
2018-09-09 11_26_11.png;09_09_2018;11_26_11;147.429;0.229;14.932;23.645;19.075;70.71
2018-09-09 11_26_26.png;09_09_2018;11_26_26;149.279;0.21;14.745;23.58;19.069;70.529
2018-09-09 11_26_42.png;09_09_2018;11_26_42;150.915;0.143;14.871;23.639;19.065;71.281
2018-09-09 11_26_58.png;09_09_2018;11_26_58;152.488;0.209;15.07;23.643;19.081;71.675
2018-09-09 11_27_14.png;09_09_2018;11_27_14;153.684;0.266;15.017;23.658;19.074;71.764
2018-09-09 11_27_30.png;09_09_2018;11_27_30;155.096;0.145;14.786;23.658;19.042;71.212
2018-09-09 11_27_45.png;09_09_2018;11_27_45;155.332;0.128;15.128;23.581;19.079;71.488
2018-09-09 11_28_01.png;09_09_2018;11_28_01;156.1;0.496;14.898;23.594;19.114;71.574
2018-09-09 11_28_17.png;09_09_2018;11_28_17;156.381;0.115;15.019;23.59;19.109;72.065
2018-09-09 11_28_32.png;09_09_2018;11_28_32;156.784;0.122;15.214;23.63;19.063;72.044
2018-09-09 11_28_48.png;09_09_2018;11_28_48;156.754;0.12;15.22;23.568;19.05;71.329
2018-09-09 11_29_04.png;09_09_2018;11_29_04;157.205;0.16;15.294;23.607;19.067;71.899
2018-09-09 11_29_20.png;09_09_2018;11_29_20;157.639;0.17;15.487;23.592;19.052;71.883
2018-09-09 11_29_36.png;09_09_2018;11_29_36;157.914;0.194;15.274;23.643;19.035;70.345
2018-09-09 11_29_51.png;09_09_2018;11_29_51;158.866;0.143;14.871;23.7;19.054;70.055
2018-09-09 11_30_07.png;09_09_2018;11_30_07;160.256;0.1;15.285;23.679;19.069;70.449
2018-09-09 11_30_23.png;09_09_2018;11_30_23;162.304;0.231;15.161;23.678;19.055;70.516
2018-09-09 11_30_39.png;09_09_2018;11_30_39;164.718;0.248;15.268;23.753;19.083;70.778
2018-09-09 11_30_54.png;09_09_2018;11_30_54;167.638;0.072;15.19;23.702;19.063;70.088
2018-09-09 11_31_10.png;09_09_2018;11_31_10;171.278;0.105;15.269;23.769;19.133;69.772
2018-09-09 11_31_26.png;09_09_2018;11_31_26;175.801;0.097;15.384;23.773;19.101;69.621
2018-09-09 11_31_42.png;09_09_2018;11_31_42;180.872;0.063;15.218;23.826;19.141;69.04
2018-09-09 11_31_57.png;09_09_2018;11_31_57;186.379;0.12;15.49;23.907;19.152;69.004
2018-09-09 11_32_13.png;09_09_2018;11_32_13;192.76;0.097;15.555;23.966;19.163;69.461
2018-09-09 11_32_29.png;09_09_2018;11_32_29;199.949;0.148;15.575;24.007;19.216;68.89
2018-09-09 11_32_45.png;09_09_2018;11_32_45;207.019;0.091;15.381;24.006;19.21;67.552
2018-09-09 11_33_00.png;09_09_2018;11_33_00;213.925;0.138;15.558;24.024;19.228;67.809
2018-09-09 11_33_16.png;09_09_2018;11_33_16;221.525;0.785;15.704;24.017;19.249;67.429
2018-09-09 11_33_32.png;09_09_2018;11_33_32;229.435;0.594;15.261;24.153;19.278;66.534
2018-09-09 11_33_48.png;09_09_2018;11_33_48;236.599;0.099;15.433;24.084;19.269;66.293
2018-09-09 11_34_03.png;09_09_2018;11_34_03;243.594;0.049;15.802;24.291;19.301;66.057
2018-09-09 11_34_19.png;09_09_2018;11_34_19;250.67;0.112;15.878;24.375;19.327;65.599
2018-09-09 11_34_35.png;09_09_2018;11_34_35;257.26;0.15;15.873;24.552;19.321;66.484
2018-09-09 11_34_50.png;09_09_2018;11_34_50;262.992;0.07;16.154;24.592;19.304;65.699
2018-09-09 11_35_06.png;09_09_2018;11_35_06;268.049;0.105;16.096;24.655;19.266;64.668
2018-09-09 11_35_22.png;09_09_2018;11_35_22;272.24;0.081;15.963;24.769;19.277;64.402
2018-09-09 11_35_38.png;09_09_2018;11_35_38;275.395;0.1;15.93;24.906;19.297;64.079
2018-09-09 11_35_53.png;09_09_2018;11_35_53;276.955;0.104;16.209;25.053;19.32;64.255
2018-09-09 11_36_09.png;09_09_2018;11_36_09;277.326;0.06;16.44;25.196;19.298;64.293
