Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-04 15_48_03.png;04_09_2018;15_48_03;73.3;0.288;12.08;21.139;19.11;99.054
2018-09-04 15_48_18.png;04_09_2018;15_48_18;70.649;0.162;11.935;20.939;19.024;99.709
2018-09-04 15_48_34.png;04_09_2018;15_48_34;67.799;0.866;12.044;20.781;18.962;100.109
2018-09-04 15_48_50.png;04_09_2018;15_48_50;65.099;0.178;12.035;20.622;18.966;100.122
2018-09-04 15_49_06.png;04_09_2018;15_49_06;62.771;1.627;12.083;20.461;18.949;99.577
2018-09-04 15_49_21.png;04_09_2018;15_49_21;60.282;3.629;12.337;20.309;18.96;98.232
2018-09-04 15_49_37.png;04_09_2018;15_49_37;57.831;2.287;12.199;20.105;18.99;97.654
2018-09-04 15_49_53.png;04_09_2018;15_49_53;55.374;1.508;12.19;19.935;18.926;98.357
2018-09-04 15_50_09.png;04_09_2018;15_50_09;53.521;0.808;12.064;19.777;18.928;99.54
2018-09-04 15_50_24.png;04_09_2018;15_50_24;51.794;1.515;12.081;19.602;18.928;99.916
2018-09-04 15_50_40.png;04_09_2018;15_50_40;50.166;2.632;11.975;19.464;18.851;98.94
2018-09-04 15_50_56.png;04_09_2018;15_50_56;48.746;0.228;11.648;19.37;18.802;100.474
2018-09-04 15_51_12.png;04_09_2018;15_51_12;47.527;1.273;11.807;19.17;18.825;102.207
2018-09-04 15_51_27.png;04_09_2018;15_51_27;46.04;2.351;11.58;19.09;18.824;101.288
2018-09-04 15_51_43.png;04_09_2018;15_51_43;44.868;2.742;11.483;18.858;18.763;101.065
2018-09-04 15_51_59.png;04_09_2018;15_51_59;43.614;1.217;11.46;18.732;18.783;101.315
2018-09-04 15_52_15.png;04_09_2018;15_52_15;42.954;0.316;11.129;18.653;18.758;101.964
2018-09-04 15_52_30.png;04_09_2018;15_52_30;42.328;0.163;11.075;18.5;18.701;102.48
2018-09-04 15_52_46.png;04_09_2018;15_52_46;41.654;0.65;11.044;18.382;18.678;102.799
2018-09-04 15_53_02.png;04_09_2018;15_53_02;41.192;0.167;10.79;18.256;18.658;102.641
2018-09-04 15_53_18.png;04_09_2018;15_53_18;40.523;0.202;10.791;18.139;18.61;102.362
2018-09-04 15_53_34.png;04_09_2018;15_53_34;39.428;0.127;10.809;18.049;18.544;102.765
2018-09-04 15_53_49.png;04_09_2018;15_53_49;39.018;0.058;10.522;17.896;18.572;103.21
2018-09-04 15_54_05.png;04_09_2018;15_54_05;38.091;0.088;10.636;17.811;18.56;103.241
2018-09-04 15_54_21.png;04_09_2018;15_54_21;37.361;0.113;10.643;17.72;18.538;103.513
2018-09-04 15_54_37.png;04_09_2018;15_54_37;36.932;0.052;10.589;17.663;18.438;103.557
2018-09-04 15_54_52.png;04_09_2018;15_54_52;36.202;1.562;10.952;17.605;18.511;103.584
2018-09-04 15_55_08.png;04_09_2018;15_55_08;35.645;0.432;10.996;17.562;18.429;103.497
2018-09-04 15_55_24.png;04_09_2018;15_55_24;35.308;0.107;10.56;17.374;18.424;103.751
2018-09-04 15_55_40.png;04_09_2018;15_55_40;35.123;0.249;10.621;17.311;18.387;103.918
2018-09-04 15_55_55.png;04_09_2018;15_55_55;35.226;0.18;10.61;17.224;18.404;104.148
2018-09-04 15_56_11.png;04_09_2018;15_56_11;34.756;0.214;10.798;17.2;18.382;104.235
2018-09-04 15_56_27.png;04_09_2018;15_56_27;34.458;0.127;10.597;17.165;18.309;104.129
2018-09-04 15_56_43.png;04_09_2018;15_56_43;34.222;0.14;10.622;17.139;18.244;104.062
2018-09-04 15_56_58.png;04_09_2018;15_56_58;34.395;1.107;10.942;17.063;18.248;104.351
2018-09-04 15_57_14.png;04_09_2018;15_57_14;34.18;0.148;10.698;17.01;18.283;104.498
2018-09-04 15_57_30.png;04_09_2018;15_57_30;34.168;0.397;10.717;16.943;18.243;104.256
2018-09-04 15_57_46.png;04_09_2018;15_57_46;34.129;0.067;10.511;16.863;18.191;104.344
2018-09-04 15_58_02.png;04_09_2018;15_58_02;34.193;0.084;10.525;16.794;18.244;106.943
2018-09-04 15_58_17.png;04_09_2018;15_58_17;34.212;0.082;10.596;16.795;18.155;107.36
2018-09-04 15_58_33.png;04_09_2018;15_58_33;34.325;0.061;10.671;16.737;18.156;107.455
