2018-09-09 07_14_10.png;09_09_2018;07_14_10;22.314;0.096;12.498;17.396;15.583;94.102
2018-09-09 07_14_25.png;09_09_2018;07_14_25;23.06;0.093;12.595;17.453;15.58;94.169
2018-09-09 07_14_41.png;09_09_2018;07_14_41;23.394;0.058;12.611;17.483;15.604;94.23
2018-09-09 07_14_57.png;09_09_2018;07_14_57;23.831;0.058;12.519;17.499;15.574;94.162
2018-09-09 07_15_13.png;09_09_2018;07_15_13;24.723;0.052;12.549;17.521;15.589;94.013
2018-09-09 07_15_28.png;09_09_2018;07_15_28;25.361;0.067;12.634;17.532;15.578;94.14
2018-09-09 07_15_44.png;09_09_2018;07_15_44;25.853;0.091;12.616;17.525;15.569;94.208
2018-09-09 07_16_00.png;09_09_2018;07_16_00;26.203;0.073;12.665;17.554;15.582;94.084
2018-09-09 07_16_15.png;09_09_2018;07_16_15;26.366;0.085;12.617;17.572;15.56;94.114
2018-09-09 07_16_31.png;09_09_2018;07_16_31;26.883;0.028;12.699;17.584;15.569;94.011
2018-09-09 07_16_47.png;09_09_2018;07_16_47;26.847;0.131;12.685;17.574;15.544;93.977
2018-09-09 07_17_03.png;09_09_2018;07_17_03;26.63;0.077;12.763;17.604;15.561;94.024
2018-09-09 07_17_19.png;09_09_2018;07_17_19;26.662;0.081;12.722;17.627;15.554;93.888
2018-09-09 07_17_34.png;09_09_2018;07_17_34;26.11;0.21;12.731;17.657;15.573;93.657
2018-09-09 07_17_50.png;09_09_2018;07_17_50;25.673;0.089;12.798;17.676;15.583;93.525
2018-09-09 07_18_06.png;09_09_2018;07_18_06;25.334;0.067;12.798;17.689;15.59;93.606
2018-09-09 07_18_22.png;09_09_2018;07_18_22;24.934;0.052;12.773;17.704;15.569;93.689
2018-09-09 07_18_37.png;09_09_2018;07_18_37;24.196;0.053;12.809;17.69;15.566;93.621
2018-09-09 07_18_53.png;09_09_2018;07_18_53;23.547;0.126;12.817;17.716;15.589;93.632
2018-09-09 07_19_09.png;09_09_2018;07_19_09;23.188;0.107;12.881;17.721;15.591;93.201
2018-09-09 07_19_25.png;09_09_2018;07_19_25;23.316;0.161;12.777;17.736;15.61;92.83
2018-09-09 07_19_40.png;09_09_2018;07_19_40;23.172;0.137;12.818;17.771;15.594;92.747
2018-09-09 07_19_56.png;09_09_2018;07_19_56;23.178;0.084;12.75;17.779;15.631;92.742
2018-09-09 07_20_12.png;09_09_2018;07_20_12;22.83;0.053;12.809;17.785;15.67;92.631
2018-09-09 07_20_28.png;09_09_2018;07_20_28;22.768;0.063;12.721;17.816;15.652;92.789
2018-09-09 07_20_43.png;09_09_2018;07_20_43;22.965;0.099;12.73;17.843;15.656;92.786
2018-09-09 07_20_59.png;09_09_2018;07_20_59;22.531;0.119;12.76;17.874;15.625;92.965
2018-09-09 07_21_15.png;09_09_2018;07_21_15;22.596;0.095;12.769;17.856;15.599;93.119
2018-09-09 07_21_31.png;09_09_2018;07_21_31;22.462;0.094;12.752;17.864;15.573;93.222
2018-09-09 07_21_46.png;09_09_2018;07_21_46;22.231;0.075;12.779;17.865;15.584;93.303
2018-09-09 07_22_02.png;09_09_2018;07_22_02;21.956;0.042;12.821;17.854;15.599;93.228
2018-09-09 07_22_18.png;09_09_2018;07_22_18;21.836;0.087;12.769;17.871;15.592;93.097
2018-09-09 07_22_34.png;09_09_2018;07_22_34;21.718;0.286;12.78;17.841;15.58;93.175
2018-09-09 07_22_49.png;09_09_2018;07_22_49;21.608;0.087;12.821;17.853;15.578;93.107
2018-09-09 07_23_05.png;09_09_2018;07_23_05;21.585;0.114;12.914;17.849;15.575;93.158
2018-09-09 07_23_21.png;09_09_2018;07_23_21;21.606;0.08;12.74;17.845;15.606;92.741
2018-09-09 07_23_37.png;09_09_2018;07_23_37;21.965;0.048;12.818;17.821;15.614;92.481
2018-09-09 07_23_52.png;09_09_2018;07_23_52;22.322;0.058;12.789;17.855;15.606;92.552
2018-09-09 07_24_08.png;09_09_2018;07_24_08;22.907;0.177;12.687;17.846;15.615;92.658
2018-09-09 07_24_24.png;09_09_2018;07_24_24;23.501;0.129;12.671;17.843;15.622;92.431
2018-09-09 07_24_40.png;09_09_2018;07_24_40;24.393;0.227;12.634;17.837;15.626;92.341
2018-09-09 07_24_56.png;09_09_2018;07_24_56;25.191;0.094;12.656;17.862;15.626;92.222
